BENCH sphere;name=Mun;radius=200000;minLevel=2;maxLevel=9;highestLevelUnder=6250;subdivisionOffAbove=20000000;maxAnglePerSample=9.204E-005;speedCapAt60Fps=1104
BENCH colliders;name=Mun;maxLevelOffset=0;lowestLevelWithCollider=9
BENCH begin;mode=Calibrate;patchEnabled=True;samples=117;verticesPerQuad=225;warpedSeconds=0
BENCH;sample;ut;utSpan;realSeconds;frames;fps;altitude;speed;quads;patchedQuads;vertices;buildMs;patchedBuildMs;updateMs;subdivisionAvg;subdivisionMax;speedLevelCap;maxLevel
BENCH;0;417.30;1.020;1.022;96;93.9;4999.5;554.4;42;24;9450;113.835;66.521;191.419;8.38;9;8;9
BENCH;1;418.32;1.020;1.023;96;93.8;4999.5;554.4;28;16;6300;76.290;43.548;146.951;8.00;9;8;9
BENCH;2;419.34;1.020;1.035;99;95.7;4999.5;554.4;36;8;8100;96.742;22.279;167.806;8.00;9;8;9
BENCH;3;420.36;1.040;1.041;99;95.1;4999.5;554.4;32;24;7200;87.217;65.763;160.441;8.75;9;9;9
BENCH;4;421.40;1.020;1.018;97;95.2;4999.5;554.4;42;16;9450;113.413;44.434;192.088;8.19;9;9;9
BENCH;5;422.42;1.020;1.021;108;105.8;4999.5;554.4;10;8;2250;27.259;21.701;98.663;8.60;9;9;9
BENCH;6;423.44;1.020;1.038;96;92.5;4999.5;554.4;44;24;9900;119.231;66.042;194.542;7.91;9;9;9
BENCH;7;424.46;1.020;1.001;97;96.9;4999.5;554.4;26;8;5850;70.224;21.736;143.954;6.69;9;9;9
BENCH;8;425.48;1.020;1.026;92;89.6;4999.5;554.4;42;16;9450;113.964;43.936;189.524;8.14;9;9;9
BENCH;9;426.50;1.020;1.013;103;101.7;4999.5;554.4;16;8;3600;44.382;22.961;116.742;7.50;9;9;9
BENCH;10;427.52;1.020;1.024;95;92.8;4999.5;554.4;34;24;7650;92.448;65.690;171.715;8.65;9;9;9
BENCH;11;428.54;1.020;1.023;97;94.8;4999.5;554.4;36;8;8100;96.263;21.702;168.416;7.67;9;9;9
BENCH;12;429.56;1.020;1.015;100;98.5;4999.5;554.4;24;16;5400;65.091;43.467;140.066;8.33;9;9;9
BENCH;13;430.58;1.020;1.023;91;88.9;4999.5;554.4;42;24;9450;113.700;65.782;191.274;8.33;9;9;9
BENCH;14;431.60;1.020;1.039;98;94.3;4999.5;554.4;36;8;8100;95.506;21.920;169.754;7.67;9;8;9
BENCH;15;432.62;1.020;1.026;96;93.6;4999.5;554.4;36;16;8100;96.264;43.187;172.691;7.67;9;8;9
BENCH;16;433.64;1.020;1.019;97;95.2;4999.5;554.4;32;24;7200;87.518;66.747;169.280;8.75;9;9;9
BENCH;17;434.66;1.020;1.027;96;93.5;4999.5;554.4;34;8;7650;90.231;21.967;161.137;7.47;9;8;9
BENCH;18;435.68;1.020;1.013;104;102.6;4999.5;554.4;20;8;4500;54.154;21.658;128.709;7.00;9;9;9
BENCH;19;436.70;1.020;1.022;98;95.9;4999.5;554.4;34;16;7650;91.523;43.660;170.923;8.18;9;9;9
BENCH;20;437.72;1.020;1.019;105;103.1;4999.5;554.4;10;0;2250;26.391;0.000;97.272;6.20;7;9;9
BENCH;21;438.74;1.020;1.042;95;91.2;4999.5;554.4;44;16;9900;116.853;43.616;195.335;8.09;9;8;9
BENCH;22;439.76;1.020;1.015;105;103.5;4999.5;554.4;16;8;3600;42.367;21.568;115.595;8.00;9;9;9
BENCH;23;440.78;1.020;1.023;102;99.7;4999.5;554.4;26;8;5850;69.396;21.877;146.038;7.92;9;9;9
BENCH;24;441.80;1.020;1.022;109;106.6;4999.5;554.4;20;8;4500;54.481;22.644;133.821;8.20;9;9;9
BENCH;25;442.82;1.020;1.020;110;107.8;4999.5;554.4;10;8;2250;27.114;21.731;103.688;8.60;9;9;9
BENCH;26;443.84;1.020;1.014;113;111.5;4999.5;554.4;18;0;4050;48.023;0.000;121.872;7.00;8;9;9
BENCH;27;444.86;1.020;1.027;105;102.2;4999.5;554.4;26;16;5850;70.096;43.580;151.856;8.54;9;9;9
BENCH;28;445.88;1.020;1.013;106;104.6;4999.5;554.4;24;8;5400;63.610;21.593;139.393;8.00;9;9;9
BENCH;29;446.90;1.020;1.028;109;106.0;4999.5;554.4;26;8;5850;70.603;21.850;146.246;7.31;9;9;9
BENCH;30;447.92;1.020;1.020;94;92.1;4999.5;554.4;46;16;10350;124.607;44.316;202.843;7.83;9;8;9
BENCH;31;448.94;1.020;1.017;111;109.1;4999.5;554.4;16;8;3600;42.592;21.718;119.596;8.50;9;9;9
BENCH;32;449.96;1.020;1.023;110;107.5;4999.5;554.4;24;8;5400;64.360;21.748;144.055;6.67;9;9;9
BENCH;33;450.98;1.020;1.015;105;103.4;4999.5;554.4;34;16;7650;92.077;44.493;171.962;8.41;9;9;9
BENCH;34;452.00;1.020;1.024;112;109.4;4999.5;554.4;24;8;5400;64.443;21.973;141.832;7.00;9;9;9
BENCH;35;453.02;1.020;1.019;108;106.0;4999.5;554.4;24;8;5400;64.138;21.744;139.625;8.00;9;9;9
BENCH;36;454.04;1.020;1.039;106;102.1;4999.5;554.4;40;16;9000;106.534;43.792;188.389;7.60;9;9;9
BENCH;37;455.06;1.020;1.035;101;97.6;4999.5;554.4;42;16;9450;111.957;43.253;192.738;7.90;9;9;9
BENCH;38;456.08;1.020;1.008;107;106.2;4999.5;554.4;22;8;4950;59.915;22.286;133.950;7.18;9;8;9
BENCH;39;457.10;1.020;1.013;103;101.7;4999.5;554.4;32;8;7200;84.689;21.540;160.028;7.50;9;9;9
BENCH;40;458.12;1.020;1.022;107;104.7;4999.5;554.4;24;16;5400;64.483;43.407;143.264;8.67;9;9;9
BENCH;41;459.14;1.020;1.024;100;97.7;4999.5;554.4;40;16;9000;106.904;43.478;188.182;7.80;9;9;9
BENCH;42;460.16;1.020;1.017;104;102.2;4999.5;554.4;32;8;7200;85.164;21.896;159.972;7.00;9;9;9
BENCH;43;461.18;1.020;1.018;100;98.2;4999.5;554.4;40;8;9000;105.448;21.620;183.168;7.80;9;8;9
BENCH;44;462.20;1.020;1.025;106;103.4;4999.5;554.4;26;16;5850;69.481;43.093;155.137;7.85;9;9;9
BENCH;45;463.22;1.020;1.019;109;106.9;4999.5;554.4;16;8;3600;42.622;21.552;117.168;8.50;9;9;9
BENCH;46;464.24;1.020;1.017;107;105.2;4999.5;554.4;18;8;4050;47.950;21.484;127.123;8.22;9;9;9
BENCH;47;465.26;1.020;1.022;101;98.8;4999.5;554.4;34;16;7650;90.967;43.376;172.920;7.88;9;9;9
BENCH;48;466.28;1.020;1.017;104;102.2;4999.5;554.4;32;16;7200;84.896;43.052;165.447;8.25;9;9;9
BENCH;49;467.30;1.020;1.021;102;99.9;4999.5;554.4;26;16;5850;69.938;43.736;152.326;8.15;9;9;9
BENCH;50;468.32;1.020;1.018;94;92.4;4999.4;554.4;50;16;11250;133.412;43.425;212.610;7.80;9;9;9
BENCH;51;469.34;1.020;1.025;113;110.2;4999.4;554.4;8;8;1800;21.443;21.443;101.683;9.00;9;9;9
BENCH;52;470.36;1.020;1.034;99;95.8;4999.4;554.4;34;24;7650;90.875;64.426;178.577;8.59;9;9;9
BENCH;53;471.38;1.020;1.022;117;114.4;4999.4;554.4;10;0;2250;26.617;0.000;104.856;7.60;8;9;9
BENCH;54;472.40;1.020;1.021;102;99.9;4999.4;554.4;26;16;5850;70.304;43.816;152.534;8.46;9;9;9
BENCH;55;473.42;1.020;1.017;109;107.1;4999.4;554.4;16;8;3600;43.241;22.325;122.034;8.00;9;9;9
BENCH;56;474.44;1.020;1.017;108;106.2;4999.5;554.4;18;8;4050;48.039;21.654;125.298;8.22;9;9;9
BENCH;57;475.46;1.020;1.022;91;89.0;4999.4;554.4;56;8;12600;148.630;21.584;224.007;6.71;9;9;9
BENCH;58;476.48;1.020;1.026;102;99.4;4999.4;554.4;24;8;5400;64.622;21.724;147.890;7.33;9;9;9
