BENCH sphere;name=Mun;radius=200000;minLevel=2;maxLevel=9;highestLevelUnder=6250;subdivisionOffAbove=20000000;maxAnglePerSample=9.204E-005;speedCapAt60Fps=1104
BENCH colliders;name=Mun;maxLevelOffset=0;lowestLevelWithCollider=9
BENCH begin;mode=Calibrate;patchEnabled=True;samples=121;verticesPerQuad=225;warpedSeconds=0
BENCH;sample;ut;utSpan;realSeconds;frames;fps;altitude;speed;quads;patchedQuads;vertices;buildMs;patchedBuildMs;updateMs;subdivisionAvg;subdivisionMax;speedLevelCap;maxLevel
BENCH;0;401.68;1.020;1.034;102;98.7;4999.5;554.4;40;24;9000;120.085;77.806;190.585;8.60;9;9;9
BENCH;1;402.70;1.020;1.020;100;98.1;4999.5;554.4;40;8;9000;108.028;22.557;167.228;7.80;9;9;9
BENCH;2;403.72;1.020;1.025;108;105.4;4999.5;554.4;16;16;3600;55.905;55.905;122.026;9.00;9;9;9
BENCH;3;404.74;1.020;1.021;104;101.8;4999.5;554.4;24;8;5400;67.220;24.560;128.945;8.00;9;9;9
BENCH;4;405.76;1.020;1.024;102;99.6;4999.5;554.4;40;16;9000;108.661;44.811;179.256;8.20;9;8;9
BENCH;5;406.78;1.040;1.069;112;104.8;4999.5;554.4;24;16;5400;77.558;56.419;144.089;8.67;9;9;9
BENCH;6;407.82;1.020;1.018;99;97.3;4999.5;554.4;32;16;7200;88.559;45.578;160.627;7.75;9;9;9
BENCH;7;408.84;1.020;1.027;103;100.3;4999.5;554.4;32;8;7200;96.451;32.773;161.755;8.00;9;9;9
BENCH;8;409.86;1.020;1.026;98;95.5;4999.5;554.4;28;16;6300;77.515;44.983;149.326;8.29;9;9;9
BENCH;9;410.88;1.020;1.017;105;103.3;4999.5;554.4;28;8;6300;77.432;23.675;147.392;7.43;9;9;9
BENCH;10;411.90;1.020;1.024;101;98.6;4999.5;554.4;36;16;8100;98.480;45.487;171.044;8.22;9;9;9
BENCH;11;412.92;1.020;1.021;97;95.0;4999.5;554.4;36;8;8100;100.606;23.369;168.065;7.78;9;8;9
BENCH;12;413.94;1.020;1.024;107;104.5;4999.5;554.4;20;16;4500;56.404;45.805;131.219;8.80;9;9;9
BENCH;13;414.96;1.020;1.016;96;94.5;4999.5;554.4;42;24;9450;115.493;67.453;191.774;8.38;9;9;9
BENCH;14;415.98;1.020;1.022;99;96.8;4999.5;554.4;38;8;8550;101.920;22.429;172.551;7.79;9;9;9
BENCH;15;417.00;1.020;1.017;100;98.3;4999.5;554.4;26;16;5850;71.789;45.457;143.126;8.31;9;8;9
BENCH;16;418.02;1.020;1.029;93;90.3;4999.5;554.4;36;16;8100;99.122;44.936;174.467;8.22;9;8;9
BENCH;17;419.04;1.020;1.029;92;89.4;4999.5;554.4;50;16;11250;134.993;45.136;208.799;7.84;9;8;9
BENCH;18;420.06;1.020;1.026;108;105.3;4999.5;554.4;18;16;4050;50.397;44.945;128.640;8.89;9;9;9
BENCH;19;421.08;1.020;1.015;99;97.5;4999.5;554.4;26;16;5850;71.679;44.892;145.547;8.62;9;9;9
BENCH;20;422.10;1.020;1.023;95;92.9;4999.5;554.4;42;16;9450;114.141;45.446;191.351;8.14;9;9;9
BENCH;21;423.12;1.020;1.024;103;100.6;4999.5;554.4;28;16;6300;77.231;44.911;153.706;7.57;9;8;9
BENCH;22;424.14;1.040;1.036;96;92.7;4999.5;554.4;40;16;9000;108.749;44.659;182.995;7.40;9;9;9
BENCH;23;425.18;1.020;1.017;92;90.4;4999.5;554.4;36;16;8100;98.240;44.971;177.232;8.33;9;9;9
BENCH;24;426.20;1.020;1.022;103;100.8;4999.5;554.4;16;8;3600;43.597;22.406;118.743;8.00;9;9;9
BENCH;25;427.22;1.020;1.021;99;96.9;4999.5;554.4;34;16;7650;93.189;44.951;173.018;7.94;9;8;9
BENCH;26;428.24;1.020;1.022;97;94.9;4999.5;554.4;28;8;6300;75.424;22.376;147.232;8.14;9;9;9
BENCH;27;429.26;1.020;1.021;96;94.0;4999.5;554.4;32;24;7200;89.862;68.517;170.987;8.25;9;8;9
BENCH;28;430.28;1.020;1.019;98;96.2;4999.5;554.4;34;8;7650;91.227;22.305;165.700;7.71;9;9;9
BENCH;29;431.30;1.020;1.039;96;92.4;4999.5;554.4;44;16;9900;119.043;44.764;198.951;7.91;9;8;9
BENCH;30;432.32;1.020;1.024;92;89.9;4999.5;554.4;44;24;9900;121.277;67.426;203.263;7.91;9;8;9
BENCH;31;433.34;1.020;1.020;103;100.9;4999.4;554.4;16;8;3600;43.698;22.422;118.352;8.50;9;9;9
BENCH;32;434.36;1.020;1.021;91;89.1;4999.4;554.4;42;24;9450;116.740;68.549;195.804;7.95;9;9;9
BENCH;33;435.38;1.020;1.024;104;101.5;4999.4;554.4;20;8;4500;54.912;22.985;137.115;8.20;9;8;9
BENCH;34;436.40;1.020;1.021;104;101.8;4999.4;554.4;26;8;5850;70.687;22.596;149.002;7.31;9;9;9
BENCH;35;437.42;1.020;1.014;102;100.6;4999.4;554.4;26;8;5850;70.730;22.730;145.932;7.31;9;9;9
BENCH;36;438.44;1.020;1.045;99;94.8;4999.4;554.4;44;16;9900;121.723;46.014;206.603;8.09;9;8;9
