BENCH sphere;name=Mun;radius=200000;minLevel=2;maxLevel=9;highestLevelUnder=6250;subdivisionOffAbove=20000000;maxAnglePerSample=9.204E-005;speedCapAt60Fps=1104
BENCH colliders;name=Mun;maxLevelOffset=0;lowestLevelWithCollider=9
BENCH begin;mode=Calibrate;samples=146;verticesPerQuad=225;warpedSeconds=0;fix=0.1.0.0;fixPatching=True
BENCH;sample;ut;utSpan;realSeconds;frames;fps;altitude;speed;quads;topLevelQuads;vertices;buildMs;topLevelBuildMs;updateMs;subdivisionAvg;subdivisionMax;speedLevelCap;maxLevel
BENCH;0;335.56;1.020;1.021;111;108.7;4999.8;554.4;32;8;7200;86.644;23.102;148.044;6.75;9;9;9
BENCH;1;336.58;1.020;1.016;113;111.2;4999.8;554.4;24;8;5400;64.345;21.770;128.740;8.00;9;9;9
BENCH;2;337.60;1.020;1.027;117;113.9;4999.8;554.4;16;8;3600;43.087;22.001;104.111;8.50;9;9;9
BENCH;3;338.62;1.020;1.031;116;112.5;4999.7;554.4;24;8;5400;64.862;22.113;129.759;6.67;9;9;9
BENCH;4;339.64;1.020;1.025;115;112.2;4999.7;554.4;20;8;4500;54.059;21.743;118.491;8.20;9;9;9
BENCH;5;340.66;1.020;1.017;119;117.1;4999.8;554.4;8;8;1800;21.646;21.646;85.352;9.00;9;9;9
BENCH;6;341.68;1.040;1.038;119;114.6;4999.7;554.4;18;8;4050;48.092;21.754;108.669;8.33;9;9;9
BENCH;7;342.72;1.020;1.020;113;110.8;4999.7;554.4;28;8;6300;75.594;22.021;142.931;7.86;9;9;9
BENCH;8;343.74;1.020;1.016;120;118.1;4999.7;554.4;8;0;1800;21.073;0.000;80.530;8.00;8;9;9
BENCH;9;344.76;1.020;1.026;115;112.1;4999.7;554.4;18;16;4050;52.756;46.924;119.502;8.78;9;9;9
BENCH;10;345.78;1.020;1.016;112;110.2;4999.7;554.4;26;0;5850;68.872;0.000;129.090;7.31;8;9;9
BENCH;11;346.80;1.020;1.025;116;113.2;4999.7;554.4;26;16;5850;70.252;43.898;139.125;8.54;9;9;9
BENCH;12;347.82;1.040;1.037;119;114.8;4999.7;554.4;16;8;3600;42.922;21.940;104.181;8.50;9;9;9
BENCH;13;348.86;1.020;1.022;119;116.4;4999.7;554.4;10;8;2250;28.065;22.705;95.937;8.60;9;9;9
BENCH;14;349.88;1.020;1.016;120;118.1;4999.7;554.4;10;0;2250;26.598;0.000;86.616;5.40;7;9;9
BENCH;15;350.90;1.020;1.018;117;114.9;4999.7;554.4;19;8;4275;51.153;21.976;115.604;8.05;9;9;9
