BENCH sphere;name=Mun;radius=200000;minLevel=2;maxLevel=9;highestLevelUnder=6250;subdivisionOffAbove=20000000;maxAnglePerSample=9.204E-005;speedCapAt60Fps=1104
BENCH colliders;name=Mun;maxLevelOffset=0;lowestLevelWithCollider=9
BENCH begin;mode=Calibrate;samples=146;verticesPerQuad=225;warpedSeconds=0;fix=0.1.0.0;fixPatching=True
BENCH;sample;ut;utSpan;realSeconds;frames;fps;altitude;speed;quads;topLevelQuads;vertices;buildMs;topLevelBuildMs;updateMs;subdivisionAvg;subdivisionMax;speedLevelCap;maxLevel
BENCH;0;335.56;1.020;1.014;110;108.5;4999.8;554.4;32;8;7200;85.650;21.802;147.286;6.75;9;8;9
BENCH;1;336.58;1.020;1.025;115;112.1;4999.8;554.4;24;8;5400;64.344;22.049;127.501;8.00;9;9;9
BENCH;2;337.60;1.020;1.017;116;114.0;4999.7;554.4;16;8;3600;43.261;21.933;103.083;8.50;9;9;9
BENCH;3;338.62;1.020;1.040;116;111.5;4999.7;554.4;24;8;5400;65.329;22.451;131.185;6.67;9;9;9
BENCH;4;339.64;1.020;1.017;116;114.1;4999.7;554.4;20;8;4500;53.715;21.885;117.538;8.20;9;9;9
BENCH;5;340.66;1.020;1.025;120;117.1;4999.7;554.4;8;8;1800;21.682;21.682;84.597;9.00;9;9;9
BENCH;6;341.68;1.040;1.037;119;114.7;4999.7;554.4;18;8;4050;48.606;22.160;109.457;8.33;9;9;9
BENCH;7;342.72;1.020;1.021;114;111.7;4999.7;554.4;28;8;6300;75.086;21.941;141.761;7.86;9;9;9
BENCH;8;343.74;1.020;1.016;120;118.1;4999.7;554.4;8;0;1800;21.613;0.000;80.836;8.00;8;9;9
BENCH;9;344.76;1.020;1.025;114;111.2;4999.7;554.4;18;16;4050;55.849;50.472;120.785;8.78;9;9;9
BENCH;10;345.78;1.020;1.019;112;110.0;4999.7;554.4;26;0;5850;68.922;0.000;128.959;7.31;8;9;9
BENCH;11;346.80;1.020;1.023;115;112.4;4999.7;554.4;26;16;5850;70.149;43.749;136.278;8.54;9;9;9
BENCH;12;347.82;1.020;1.026;118;115.0;4999.7;554.4;16;8;3600;42.985;21.932;102.694;8.50;9;9;9
BENCH;13;348.84;1.020;1.007;117;116.1;4999.7;554.4;10;8;2250;26.987;21.691;93.474;8.60;9;9;9
BENCH;14;349.86;1.020;1.026;120;117.0;4999.7;554.4;10;0;2250;26.778;0.000;85.334;5.40;7;9;9
BENCH;15;350.88;1.020;1.017;116;114.1;4999.7;554.4;18;8;4050;48.458;22.229;110.469;8.33;9;9;9
BENCH;16;351.90;1.020;1.041;113;108.5;4999.7;554.4;33;8;7425;91.320;21.628;156.499;7.36;9;9;9
BENCH;17;352.92;1.020;1.034;117;113.2;4999.7;554.4;18;8;4050;48.649;21.883;115.293;8.33;9;9;9
BENCH;18;353.94;1.020;1.016;120;118.1;4999.7;554.4;10;8;2250;28.033;22.498;90.929;8.60;9;9;9
BENCH;19;354.96;1.020;1.025;113;110.2;4999.7;554.4;34;8;7650;90.442;21.912;155.955;7.71;9;9;9
BENCH;20;355.98;1.020;1.033;116;112.3;4999.7;554.4;24;8;5400;64.120;21.780;128.532;7.67;9;9;9
BENCH;21;357.00;1.020;1.016;116;114.1;4999.7;554.4;18;8;4050;48.581;22.339;113.162;8.33;9;9;9
BENCH;22;358.02;1.020;1.026;118;115.1;4999.7;554.4;18;8;4050;48.387;21.908;112.175;7.44;9;9;9
BENCH;23;359.04;1.020;1.016;117;115.1;4999.7;554.4;18;8;4050;48.018;21.864;114.457;8.33;9;9;9
BENCH;24;360.06;1.020;1.025;119;116.1;4999.7;554.4;16;8;3600;44.045;22.457;107.923;8.50;9;9;9
BENCH;25;361.08;1.020;1.017;120;118.0;4999.7;554.4;8;0;1800;21.593;0.000;83.577;7.00;7;9;9
BENCH;26;362.10;1.020;1.017;111;109.1;4999.7;554.4;28;16;6300;75.895;43.943;146.296;8.43;9;9;9
BENCH;27;363.12;1.020;1.024;124;121.1;4999.7;554.4;0;0;0;0.000;0.000;61.355;0.00;0;-1;0
BENCH;28;364.14;1.020;1.017;113;111.1;4999.7;554.4;24;8;5400;64.565;22.231;127.948;8.00;9;9;9
BENCH;29;365.16;1.020;1.025;114;111.3;4999.7;554.4;24;8;5400;64.828;22.759;132.390;8.00;9;9;9
BENCH;30;366.18;1.020;1.017;116;114.1;4999.7;554.4;18;8;4050;49.093;22.430;116.176;8.22;9;9;9
BENCH;31;367.20;1.020;1.017;120;118.0;4999.7;554.4;8;8;1800;22.164;22.164;87.717;9.00;9;9;9
BENCH;32;368.22;1.020;1.025;117;114.1;4999.7;554.4;16;8;3600;42.964;22.090;108.614;8.50;9;9;9
BENCH;33;369.24;1.020;1.016;117;115.1;4999.7;554.4;16;8;3600;43.122;21.848;109.284;8.50;9;9;9
BENCH;34;370.26;1.020;1.025;120;117.0;4999.7;554.4;8;8;1800;21.949;21.949;89.851;9.00;9;9;9
BENCH;35;371.28;1.020;1.016;114;112.2;4999.7;554.4;24;8;5400;64.842;21.632;128.057;8.00;9;9;9
BENCH;36;372.30;1.020;1.016;118;116.1;4999.7;554.4;14;0;3150;38.469;0.000;100.192;5.14;6;9;9
BENCH;37;373.32;1.020;1.026;110;107.2;4999.7;554.4;26;8;5850;70.744;23.109;135.810;8.15;9;9;9
BENCH;38;374.34;1.020;1.033;116;112.3;4999.7;554.4;24;8;5400;64.806;22.138;133.316;7.67;9;9;9
BENCH;39;375.36;1.020;1.025;120;117.0;4999.7;554.4;8;8;1800;22.547;22.547;88.698;9.00;9;9;9
BENCH;40;376.38;1.020;1.016;113;111.2;4999.7;554.4;24;8;5400;64.119;21.634;130.934;7.67;9;9;9
BENCH;41;377.40;1.020;1.021;119;116.6;4999.7;554.4;10;8;2250;27.766;22.205;92.752;8.40;9;9;9
BENCH;42;378.42;1.020;1.021;117;114.6;4999.7;554.4;18;8;4050;48.908;22.164;115.938;7.89;9;9;9
BENCH;43;379.44;1.020;1.017;117;115.1;4999.7;554.4;18;0;4050;47.553;0.000;109.325;6.89;8;9;9
BENCH;44;380.46;1.020;1.025;111;108.2;4999.7;554.4;34;8;7650;91.314;21.911;156.521;7.18;9;9;9
BENCH;45;381.48;1.020;1.017;119;117.0;4999.7;554.4;8;8;1800;21.832;21.832;89.261;9.00;9;9;9
BENCH;46;382.50;1.020;1.016;113;111.2;4999.7;554.4;24;8;5400;64.690;21.855;129.590;7.00;9;9;9
BENCH;47;383.52;1.020;1.025;117;114.1;4999.7;554.4;16;8;3600;43.666;21.899;112.228;8.50;9;9;9
BENCH;48;384.54;1.020;1.018;112;110.0;4999.7;554.4;26;8;5850;71.375;23.512;137.046;7.54;9;9;9
BENCH;49;385.56;1.020;1.024;119;116.2;4999.7;554.4;16;0;3600;42.209;0.000;106.056;6.50;8;9;9
