BENCH sphere;name=Mun;radius=200000;minLevel=2;maxLevel=9;highestLevelUnder=6250;subdivisionOffAbove=20000000;maxAnglePerSample=9.204E-005;speedCapAt60Fps=1104
BENCH colliders;name=Mun;maxLevelOffset=0;lowestLevelWithCollider=9
BENCH begin;mode=Counters;samples=147;verticesPerQuad=225;warpedSeconds=0;fix=0.1.0.0;fixPatching=True
BENCH;sample;ut;utSpan;realSeconds;frames;fps;altitude;speed;quads;topLevelQuads;vertices;buildMs;topLevelBuildMs;updateMs;subdivisionAvg;subdivisionMax;speedLevelCap;maxLevel
BENCH;0;335.46;1.020;1.019;108;106.0;4999.8;554.4;40;8;9000;108.149;22.586;167.159;7.00;9;9;9
BENCH;1;336.48;1.020;1.008;113;112.1;4999.8;554.4;24;8;5400;64.264;22.048;126.124;8.00;9;9;9
BENCH;2;337.50;1.020;1.017;116;114.1;4999.8;554.4;16;8;3600;43.750;22.840;103.020;8.50;9;9;9
BENCH;3;338.52;1.020;1.042;116;111.3;4999.8;554.4;24;8;5400;66.410;22.728;130.054;6.67;9;9;9
BENCH;4;339.54;1.020;1.017;117;115.0;4999.8;554.4;20;8;4500;53.455;21.594;115.596;8.20;9;9;9
BENCH;5;340.56;1.020;1.025;120;117.1;4999.8;554.4;8;8;1800;21.800;21.800;84.370;9.00;9;9;9
BENCH;6;341.58;1.020;1.016;120;118.1;4999.8;554.4;10;0;2250;26.815;0.000;84.741;7.80;8;9;9
BENCH;7;342.60;1.020;1.025;110;107.3;4999.7;554.4;36;16;8100;96.577;43.471;163.526;8.11;9;9;9
BENCH;8;343.62;1.020;1.018;120;117.9;4999.7;554.4;8;0;1800;21.090;0.000;76.998;8.00;8;9;9
BENCH;9;344.64;1.020;1.028;116;112.9;4999.7;554.4;18;16;4050;49.299;43.845;114.884;8.78;9;9;9
BENCH;10;345.66;1.020;1.013;109;107.6;4999.7;554.4;26;0;5850;69.285;0.000;132.431;7.31;8;9;9
BENCH;11;346.68;1.020;1.034;116;112.2;4999.7;554.4;26;16;5850;70.346;43.778;133.188;8.54;9;9;9
BENCH;12;347.70;1.020;1.001;120;119.9;4999.7;554.4;0;0;0;0.000;0.000;58.963;0.00;0;-1;0
BENCH;13;348.72;1.020;1.022;113;110.5;4999.7;554.4;26;16;5850;70.354;44.026;138.409;8.54;9;9;9
BENCH;14;349.74;1.020;1.034;123;118.9;4999.7;554.4;10;0;2250;26.785;0.000;87.084;5.40;7;9;9
BENCH;15;350.76;1.020;1.009;115;114.0;4999.7;554.4;18;8;4050;49.194;22.526;111.009;8.33;9;9;9
BENCH;16;351.78;1.020;1.033;113;109.4;4999.7;554.4;33;8;7425;89.241;22.024;152.743;7.36;9;9;9
BENCH;17;352.80;1.020;1.042;119;114.2;4999.7;554.4;18;8;4050;49.073;22.174;113.485;8.33;9;9;9
BENCH;18;353.82;1.020;1.017;120;118.0;4999.7;554.4;10;8;2250;28.033;22.063;90.221;8.60;9;9;9
BENCH;19;354.84;1.020;1.017;114;112.1;4999.7;554.4;26;8;5850;69.364;21.919;134.380;7.92;9;9;9
BENCH;20;355.86;1.020;1.036;113;109.1;4999.7;554.4;32;8;7200;85.074;21.586;148.044;7.50;9;9;9
BENCH;21;356.88;1.020;1.023;118;115.3;4999.7;554.4;18;8;4050;48.851;22.471;115.286;8.33;9;9;9
BENCH;22;357.90;1.020;1.016;120;118.1;4999.7;554.4;10;8;2250;27.426;21.664;91.422;8.60;9;9;9
BENCH;23;358.92;1.020;1.026;114;111.2;4999.7;554.4;26;8;5850;69.512;21.846;137.522;7.62;9;9;9
BENCH;24;359.94;1.020;1.016;116;114.1;4999.7;554.4;16;8;3600;43.391;21.960;106.928;8.50;9;9;9
BENCH;25;360.96;1.020;1.018;120;117.9;4999.7;554.4;8;0;1800;21.842;0.000;84.125;7.00;7;9;9
BENCH;26;361.98;1.020;1.023;117;114.4;4999.7;554.4;18;8;4050;48.240;21.777;112.025;8.33;9;9;9
BENCH;27;363.00;1.020;1.017;119;117.1;4999.7;554.4;10;8;2250;27.764;22.397;95.751;8.60;9;9;9
BENCH;28;364.02;1.020;1.026;114;111.1;4999.7;554.4;24;8;5400;64.568;21.694;127.456;8.00;9;9;9
BENCH;29;365.04;1.020;1.018;113;111.0;4999.7;554.4;24;8;5400;65.313;22.058;132.950;8.00;9;9;9
BENCH;30;366.06;1.020;1.024;120;117.2;4999.7;554.4;10;8;2250;27.201;21.819;94.154;8.40;9;9;9
BENCH;31;367.08;1.020;1.014;115;113.4;4999.7;554.4;16;8;3600;43.556;21.855;107.924;8.50;9;9;9
BENCH;32;368.10;1.020;1.021;116;113.6;4999.7;554.4;16;8;3600;43.177;22.198;109.920;8.50;9;9;9
BENCH;33;369.12;1.020;1.023;117;114.4;4999.7;554.4;16;8;3600;43.170;21.919;114.580;8.50;9;9;9
BENCH;34;370.14;1.020;1.018;119;116.9;4999.7;554.4;8;8;1800;22.043;22.043;94.883;9.00;9;9;9
BENCH;35;371.16;1.020;1.017;113;111.1;4999.7;554.4;24;8;5400;65.749;22.136;134.323;8.00;9;9;9
BENCH;36;372.18;1.020;1.023;120;117.3;4999.7;554.4;10;0;2250;29.711;0.000;93.265;6.00;6;9;9
BENCH;37;373.20;1.020;1.018;112;110.0;4999.7;554.4;30;8;6750;80.739;21.975;147.592;7.47;9;9;9
BENCH;38;374.22;1.020;1.042;116;111.4;4999.7;554.4;24;8;5400;64.209;21.746;134.214;7.67;9;9;9
BENCH;39;375.24;1.020;1.017;119;117.0;4999.7;554.4;8;8;1800;21.845;21.845;86.719;9.00;9;9;9
BENCH;40;376.26;1.020;1.016;113;111.2;4999.7;554.4;24;8;5400;64.335;21.680;131.040;7.67;9;9;9
BENCH;41;377.28;1.020;1.025;123;120.0;4999.7;554.4;2;0;450;5.533;0.000;69.892;6.00;6;9;9
BENCH;42;378.30;1.020;1.017;116;114.1;4999.7;554.4;18;8;4050;48.358;21.829;115.490;7.89;9;9;9
BENCH;43;379.32;1.020;1.018;113;110.9;4999.7;554.4;26;8;5850;69.629;22.017;138.892;7.54;9;9;9
BENCH;44;380.34;1.020;1.034;114;110.3;4999.7;554.4;26;8;5850;69.496;21.612;136.611;7.23;9;9;9
BENCH;45;381.36;1.020;1.007;115;114.2;4999.7;554.4;16;8;3600;43.082;21.886;112.326;8.00;9;9;9
BENCH;46;382.38;1.020;1.026;114;111.1;4999.7;554.4;24;8;5400;64.460;21.985;130.416;7.00;9;9;9
