BENCH sphere;name=Mun;radius=200000;minLevel=2;maxLevel=9;highestLevelUnder=6250;subdivisionOffAbove=20000000;maxAnglePerSample=9.204E-005;speedCapAt60Fps=1104
BENCH colliders;name=Mun;maxLevelOffset=0;lowestLevelWithCollider=9
BENCH begin;mode=Counters;samples=147;verticesPerQuad=225;warpedSeconds=0;fix=absent
BENCH;sample;ut;utSpan;realSeconds;frames;fps;altitude;speed;quads;topLevelQuads;vertices;buildMs;topLevelBuildMs;updateMs;subdivisionAvg;subdivisionMax;speedLevelCap;maxLevel
BENCH;0;335.40;1.020;1.006;108;107.3;4999.8;554.4;32;8;7200;93.676;22.903;162.154;7.00;9;8;9
BENCH;1;336.42;1.020;1.025;111;108.3;4999.8;554.4;32;8;7200;87.924;22.980;156.448;7.75;9;9;9
BENCH;2;337.44;1.020;1.017;116;114.1;4999.8;554.4;16;8;3600;44.848;22.979;109.980;8.50;9;9;9
BENCH;3;338.46;1.020;1.043;119;114.1;4999.8;554.4;16;8;3600;46.995;23.714;117.555;7.50;9;9;9
BENCH;4;339.48;1.020;1.016;111;109.3;4999.8;554.4;28;8;6300;79.964;22.503;146.966;7.29;9;9;9
BENCH;5;340.50;1.020;1.024;120;117.2;4999.8;554.4;8;8;1800;23.788;23.788;92.363;9.00;9;9;9
BENCH;6;341.52;1.020;1.018;120;117.9;4999.8;554.4;10;0;2250;26.796;0.000;89.572;7.80;8;9;9
BENCH;7;342.54;1.020;1.023;109;106.6;4999.8;554.4;36;16;8100;107.046;45.256;179.712;8.11;9;9;9
BENCH;8;343.56;1.020;1.034;122;118.0;4999.8;554.4;8;0;1800;21.236;0.000;85.051;8.00;8;9;9
BENCH;9;344.58;1.020;1.006;113;112.3;4999.8;554.4;10;8;2250;28.426;23.071;95.351;8.60;9;9;9
BENCH;10;345.60;1.020;1.021;114;111.6;4999.8;554.4;24;8;5400;65.542;22.564;132.155;8.00;9;9;9
BENCH;11;346.62;1.020;1.015;113;111.3;4999.7;554.4;28;8;6300;76.039;22.513;144.272;7.86;9;8;9
BENCH;12;347.64;1.020;1.025;120;117.1;4999.8;554.4;8;8;1800;23.745;23.745;90.370;9.00;9;9;9
BENCH;13;348.66;1.020;1.034;114;110.2;4999.7;554.4;24;16;5400;75.781;45.885;148.732;8.67;9;9;9
BENCH;14;349.68;1.020;1.000;118;118.0;4999.7;554.4;4;0;900;11.667;0.000;77.948;7.00;7;9;9
BENCH;15;350.70;1.020;1.024;113;110.3;4999.7;554.4;26;8;5850;79.879;24.955;148.628;7.31;9;9;9
BENCH;16;351.72;1.020;1.034;111;107.3;4999.7;554.4;33;8;7425;92.709;22.965;163.002;7.36;9;9;9
BENCH;17;352.74;1.020;1.042;117;112.3;4999.7;554.4;18;8;4050;49.942;22.622;120.600;8.33;9;9;9
BENCH;18;353.76;1.020;1.016;119;117.2;4999.7;554.4;10;8;2250;28.486;22.637;94.279;8.60;9;9;9
BENCH;19;354.78;1.020;1.022;111;108.7;4999.7;554.4;26;8;5850;78.081;22.846;146.732;7.92;9;9;9
BENCH;20;355.80;1.020;1.037;111;107.0;4999.7;554.4;32;8;7200;93.029;23.362;160.369;7.50;9;9;9
BENCH;21;356.82;1.020;1.026;116;113.1;4999.7;554.4;18;8;4050;52.749;22.422;123.091;8.33;9;9;9
BENCH;22;357.84;1.020;1.014;118;116.4;4999.7;554.4;10;8;2250;29.832;24.457;98.651;8.60;9;9;9
BENCH;23;358.86;1.020;1.021;112;109.7;4999.7;554.4;26;8;5850;71.454;23.006;146.107;7.62;9;9;9
BENCH;24;359.88;1.020;1.023;117;114.4;4999.7;554.4;16;8;3600;45.492;22.747;116.608;8.50;9;9;9
BENCH;25;360.90;1.020;1.019;119;116.8;4999.7;554.4;8;0;1800;22.810;0.000;94.189;7.00;7;9;9
BENCH;26;361.92;1.020;1.023;116;113.3;4999.7;554.4;18;8;4050;51.119;23.062;122.139;8.33;9;9;9
BENCH;27;362.94;1.020;1.024;118;115.3;4999.7;554.4;10;8;2250;40.250;34.791;111.855;8.60;9;9;9
BENCH;28;363.96;1.020;1.020;112;109.8;4999.7;554.4;24;8;5400;67.962;24.472;137.436;8.00;9;8;9
BENCH;29;364.98;1.020;1.031;113;109.6;4999.7;554.4;24;8;5400;74.916;28.625;153.111;8.00;9;8;9
BENCH;30;366.00;1.020;1.017;119;117.0;4999.7;554.4;10;8;2250;27.894;22.491;101.509;8.40;9;9;9
BENCH;31;367.02;1.020;1.017;116;114.0;4999.7;554.4;16;8;3600;47.942;22.531;121.036;8.50;9;9;9
BENCH;32;368.04;1.020;1.018;119;116.9;4999.7;554.4;8;8;1800;22.421;22.421;95.478;9.00;9;9;9
BENCH;33;369.06;1.020;1.023;114;111.5;4999.7;554.4;24;8;5400;64.644;22.219;133.859;8.33;9;9;9
BENCH;34;370.08;1.020;1.020;120;117.7;4999.7;554.4;8;8;1800;22.250;22.250;86.081;9.00;9;9;9
BENCH;35;371.10;1.020;1.030;115;111.6;4999.7;554.4;24;8;5400;64.386;22.255;135.566;8.00;9;9;9
BENCH;36;372.12;1.020;1.013;117;115.5;4999.7;554.4;14;0;3150;38.012;0.000;102.103;5.14;6;9;9
BENCH;37;373.14;1.020;1.020;117;114.7;4999.7;554.4;18;8;4050;48.573;22.282;116.717;8.22;9;9;9
BENCH;38;374.16;1.020;1.035;112;108.2;4999.7;554.4;32;8;7200;85.646;21.968;156.347;7.75;9;9;9
BENCH;39;375.18;1.020;1.015;119;117.2;4999.7;554.4;8;8;1800;22.310;22.310;88.306;9.00;9;9;9
BENCH;40;376.20;1.020;1.028;114;110.9;4999.7;554.4;24;8;5400;64.869;22.395;132.052;7.67;9;9;9
BENCH;41;377.22;1.020;1.015;122;120.3;4999.7;554.4;2;0;450;5.476;0.000;70.119;6.00;6;9;9
BENCH;42;378.24;1.020;1.025;115;112.2;4999.7;554.4;18;8;4050;48.684;22.338;116.680;7.89;9;9;9
BENCH;43;379.26;1.020;1.016;112;110.3;4999.7;554.4;26;8;5850;69.843;22.192;137.064;7.54;9;9;9
BENCH;44;380.28;1.020;1.018;115;113.0;4999.7;554.4;18;8;4050;48.814;22.060;113.696;6.89;9;9;9
BENCH;45;381.30;1.020;1.028;114;110.9;4999.7;554.4;24;8;5400;63.948;22.216;133.061;8.00;9;9;9
BENCH;46;382.32;1.020;1.025;113;110.2;4999.7;554.4;16;8;3600;43.716;22.126;110.451;6.50;9;9;9
BENCH;47;383.34;1.020;1.015;114;112.3;4999.7;554.4;24;8;5400;65.174;22.657;134.435;8.33;9;9;9
BENCH;48;384.36;1.040;1.035;119;115.0;4999.7;554.4;18;0;4050;47.755;0.000;109.791;6.89;7;9;9
BENCH;49;385.40;1.020;1.023;118;115.3;4999.7;554.4;16;8;3600;43.579;22.199;114.323;7.00;9;9;9
BENCH;50;386.42;1.020;1.016;115;113.2;4999.7;554.4;18;8;4050;53.200;25.624;119.007;8.22;9;9;9
BENCH;51;387.44;1.020;1.035;122;117.9;4999.7;554.4;10;8;2250;27.767;22.193;92.701;8.40;9;9;9
BENCH;52;388.46;1.020;1.009;113;112.0;4999.7;554.4;18;8;4050;48.840;22.236;115.200;7.89;9;9;9
BENCH;53;389.48;1.020;1.018;117;115.0;4999.7;554.4;16;0;3600;42.643;0.000;106.445;6.00;8;9;9
BENCH;54;390.50;1.020;1.023;120;117.3;4999.7;554.4;8;8;1800;22.679;22.679;89.777;9.00;9;9;9
BENCH;55;391.52;1.020;1.016;113;111.2;4999.7;554.4;26;8;5850;69.441;22.130;136.155;7.85;9;9;9
BENCH;56;392.54;1.020;1.018;119;116.9;4999.7;554.4;8;8;1800;22.583;22.583;89.352;9.00;9;9;9
BENCH;57;393.56;1.020;1.024;117;114.3;4999.7;554.4;18;8;4050;49.099;22.681;115.864;8.22;9;9;9
BENCH;58;394.58;1.020;1.019;113;110.9;4999.7;554.4;27;0;6075;72.604;0.000;134.923;5.89;8;9;9
BENCH;59;395.60;1.020;1.024;105;102.6;4999.7;554.4;48;16;10800;128.684;44.176;199.991;7.50;9;9;9
BENCH;60;396.62;1.020;1.017;123;120.9;4999.7;554.4;0;0;0;0.000;0.000;61.500;0.00;0;-1;0
BENCH;61;397.64;1.020;1.017;116;114.1;4999.7;554.4;16;8;3600;43.287;22.222;111.036;8.50;9;9;9
BENCH;62;398.66;1.020;1.041;116;111.5;4999.7;554.4;24;8;5400;64.608;22.290;132.521;7.67;9;9;9
BENCH;63;399.68;1.020;1.018;118;116.0;4999.7;554.4;10;8;2250;27.713;22.293;95.532;8.40;9;9;9
