BENCH sphere;name=Mun;radius=200000;minLevel=2;maxLevel=9;highestLevelUnder=6250;subdivisionOffAbove=20000000;maxAnglePerSample=9.204E-005;speedCapAt60Fps=1104
BENCH colliders;name=Mun;maxLevelOffset=0;lowestLevelWithCollider=9
BENCH begin;mode=Counters;patchEnabled=True;samples=73;verticesPerQuad=225;warpedSeconds=0
BENCH;sample;ut;utSpan;realSeconds;frames;fps;altitude;speed;quads;patchedQuads;vertices;buildMs;updateMs;subdivisionAvg;subdivisionMax;speedLevelCap;maxLevel
BENCH;0;433.02;1.020;1.021;97;95.0;4999.5;554.4;34;16;7650;92.062;174.478;8.18;9;8;9
BENCH;1;434.04;1.020;1.022;103;100.8;4999.5;554.4;18;16;4050;50.004;134.184;8.78;9;9;9
BENCH;2;435.06;1.020;1.022;93;91.0;4999.5;554.4;42;16;9450;113.263;196.574;7.76;9;8;9
BENCH;3;436.08;1.020;1.020;102;100.0;4999.5;554.4;20;8;4500;54.517;132.879;7.00;9;9;9
BENCH;4;437.10;1.020;1.017;91;89.4;4999.5;554.4;34;8;7650;91.777;169.548;7.47;9;9;9
BENCH;5;438.12;1.020;1.040;110;105.7;4999.5;554.4;18;8;4050;48.619;132.268;8.33;9;8;9
BENCH;6;439.14;1.020;1.019;100;98.1;4999.5;554.4;34;8;7650;91.506;173.213;7.71;9;8;9
BENCH;7;440.16;1.040;1.038;103;99.3;4999.4;554.4;34;16;7650;92.435;171.468;8.18;9;9;9
BENCH;8;441.20;1.020;1.020;113;110.8;4999.4;554.4;2;0;450;5.366;89.243;7.00;7;9;9
BENCH;9;442.22;1.020;1.018;103;101.2;4999.4;554.4;26;16;5850;71.179;154.859;8.54;9;9;9
BENCH;10;443.24;1.020;1.022;113;110.6;4999.4;554.4;10;0;2250;26.559;106.116;7.80;8;9;9
BENCH;11;444.26;1.020;1.023;108;105.6;4999.4;554.4;28;8;6300;75.727;158.119;7.57;9;9;9
BENCH;12;445.28;1.020;1.017;110;108.1;4999.4;554.4;16;8;3600;43.408;122.862;8.00;9;9;9
BENCH;13;446.30;1.020;1.022;109;106.7;4999.4;554.4;24;16;5400;66.416;152.629;8.67;9;9;9
BENCH;14;447.32;1.020;1.020;97;95.1;4999.4;554.4;52;16;11700;140.206;222.396;7.62;9;8;9
BENCH;15;448.34;1.020;1.018;115;113.0;4999.4;554.4;12;0;2700;31.939;111.037;6.83;7;9;9
BENCH;16;449.36;1.020;1.025;106;103.5;4999.4;554.4;32;16;7200;87.546;175.522;7.75;9;9;9
BENCH;17;450.38;1.020;1.018;114;112.0;4999.4;554.4;16;0;3600;42.925;121.710;7.00;8;9;9
BENCH;18;451.40;1.020;1.023;105;102.6;4999.4;554.4;34;16;7650;93.744;178.679;7.71;9;8;9
BENCH;19;452.42;1.020;1.020;102;100.0;4999.4;554.4;40;16;9000;107.968;189.848;8.00;9;9;9
BENCH;20;453.44;1.020;1.040;112;107.7;4999.4;554.4;24;16;5400;66.478;153.956;8.67;9;9;9
BENCH;21;454.46;1.020;1.018;109;107.1;4999.4;554.4;24;0;5400;63.707;140.285;6.33;8;9;9
BENCH;22;455.48;1.020;1.019;103;101.0;4999.4;554.4;34;16;7650;93.641;178.152;8.12;9;8;9
BENCH;23;456.50;1.020;1.019;102;100.1;4999.4;554.4;38;16;8550;104.455;187.908;7.53;9;8;9
BENCH;24;457.52;1.020;1.018;104;102.2;4999.4;554.4;24;8;5400;66.026;149.078;7.67;9;9;9
BENCH;25;458.54;1.020;1.019;101;99.2;4999.4;554.4;40;16;9000;108.614;192.859;8.20;9;9;9
BENCH;26;459.56;1.020;1.026;107;104.3;4999.4;554.4;24;8;5400;65.122;147.918;7.67;9;9;9
BENCH;27;460.58;1.020;1.015;100;98.5;4999.4;554.4;32;16;7200;88.009;175.421;7.25;9;9;9
BENCH;28;461.60;1.020;1.024;96;93.7;4999.4;554.4;48;8;10800;128.669;209.323;7.50;9;8;9
BENCH;29;462.62;1.020;1.016;112;110.2;4999.4;554.4;10;8;2250;27.637;114.306;8.40;9;9;9
BENCH;30;463.64;1.020;1.019;104;102.0;4999.4;554.4;24;16;5400;66.374;152.611;8.67;9;9;9
BENCH;31;464.66;1.020;1.019;107;105.0;4999.4;554.4;26;8;5850;70.191;157.147;8.15;9;9;9
BENCH;32;465.68;1.020;1.024;101;98.6;4999.4;554.4;34;16;7650;93.546;181.586;7.65;9;9;9
BENCH;33;466.70;1.020;1.019;104;102.1;4999.4;554.4;26;16;5850;71.471;157.652;8.46;9;9;9
BENCH;34;467.72;1.040;1.042;103;98.9;4999.4;554.4;40;16;9000;109.298;195.177;8.20;9;9;9
BENCH;35;468.76;1.020;1.020;97;95.1;4999.4;554.4;34;16;7650;93.395;185.301;7.71;9;9;9
BENCH;36;469.78;1.020;1.036;107;103.3;4999.4;554.4;26;16;5850;72.479;160.802;8.46;9;9;9
BENCH;37;470.80;1.020;1.026;112;109.2;4999.4;554.4;8;8;1800;22.547;109.870;9.00;9;9;9
BENCH;38;471.82;1.020;1.021;103;100.9;4999.4;554.4;26;8;5850;70.450;155.533;8.15;9;9;9
BENCH;39;472.84;1.020;1.018;110;108.1;4999.4;554.4;10;8;2250;28.537;110.018;8.40;9;9;9
BENCH;40;473.86;1.020;1.016;105;103.4;4999.4;554.4;26;8;5850;69.979;154.189;7.85;9;9;9
BENCH;41;474.88;1.020;1.021;101;98.9;4999.4;554.4;32;8;7200;87.024;169.291;6.00;9;9;9
BENCH;42;475.90;1.020;1.020;99;97.1;4999.4;554.4;40;16;9000;108.438;192.610;8.20;9;8;9
BENCH;43;476.92;1.020;1.023;111;108.5;4999.4;554.4;18;0;4050;48.600;133.932;6.44;7;9;9
BENCH;44;477.94;1.020;1.017;99;97.4;4999.4;554.4;32;16;7200;87.294;171.087;7.75;9;9;9
BENCH;45;478.96;1.020;1.020;109;106.8;4999.4;554.4;18;8;4050;49.071;133.888;8.22;9;9;9
BENCH;46;479.98;1.020;1.042;102;97.9;4999.4;554.4;42;8;9450;114.403;200.344;6.52;9;8;9
BENCH;47;481.00;1.020;1.015;111;109.3;4999.4;554.4;10;8;2250;28.042;110.236;8.40;9;9;9
BENCH;48;482.02;1.020;1.023;106;103.6;4999.4;554.4;24;8;5400;64.453;149.018;8.00;9;9;9
BENCH;49;483.04;1.020;1.018;103;101.2;4999.4;554.4;24;8;5400;64.714;147.522;7.67;9;8;9
BENCH;50;484.06;1.020;1.022;104;101.8;4999.4;554.4;26;8;5850;72.241;153.883;7.85;9;9;9
BENCH;51;485.08;1.020;1.018;106;104.2;4999.4;554.4;24;8;5400;65.440;150.055;8.00;9;9;9
BENCH;52;486.10;1.020;1.020;113;110.8;4999.4;554.4;10;8;2250;28.432;117.094;8.40;9;9;9
BENCH;53;487.12;1.020;1.023;106;103.6;4999.4;554.4;26;16;5850;73.221;160.761;8.46;9;9;9
BENCH;54;488.14;1.020;1.016;115;113.1;4999.4;554.4;10;0;2250;26.887;111.382;7.60;8;9;9
BENCH;55;489.16;1.020;1.021;104;101.9;4999.4;554.4;32;16;7200;88.738;175.634;7.75;9;9;9
BENCH;56;490.18;1.020;1.021;117;114.6;4999.4;554.4;8;0;1800;21.564;104.745;7.00;7;9;9
BENCH;57;491.20;1.020;1.026;102;99.4;4999.4;554.4;26;16;5850;72.933;164.315;8.46;9;8;9
BENCH;58;492.22;1.020;1.017;106;104.3;4999.4;554.4;34;8;7650;93.700;182.762;6.94;9;8;9
BENCH;59;493.24;1.020;1.017;106;104.2;4999.4;554.4;26;8;5850;70.698;159.521;7.85;9;8;9
BENCH;60;494.26;1.020;1.024;116;113.2;4999.4;554.4;8;8;1800;22.898;109.251;9.00;9;9;9
BENCH;61;495.28;1.020;1.020;105;102.9;4999.4;554.4;32;8;7200;85.232;168.544;7.75;9;9;9
BENCH;62;496.30;1.020;1.019;116;113.8;4999.4;554.4;8;8;1800;22.254;107.728;9.00;9;9;9
BENCH;63;497.32;1.020;1.027;110;107.2;4999.4;554.4;28;8;6300;75.838;161.485;7.00;9;9;9
BENCH;64;498.34;1.020;1.032;105;101.8;4999.4;554.4;34;8;7650;92.375;187.430;7.41;9;9;9
BENCH;65;499.36;1.020;1.007;104;103.3;4999.4;554.4;26;8;5850;71.106;154.792;7.23;9;9;9
BENCH;66;500.38;1.020;1.022;109;106.6;4999.4;554.4;26;16;5850;72.464;159.347;8.15;9;9;9
BENCH;67;501.40;1.020;1.014;108;106.5;4999.4;554.4;28;0;6300;74.218;157.132;6.36;8;9;9
BENCH;68;502.42;1.020;1.024;110;107.4;4999.4;554.4;24;16;5400;66.033;158.332;8.67;9;9;9
BENCH;69;503.44;1.020;1.016;112;110.3;4999.4;554.4;18;8;4050;49.453;135.257;7.78;9;9;9
BENCH;70;504.46;1.020;1.020;114;111.8;4999.4;554.4;10;8;2250;27.696;114.266;8.40;9;9;9
BENCH;71;505.48;1.020;1.026;118;115.0;4999.4;554.4;10;0;2250;26.310;110.667;7.60;8;9;9
BENCH;72;506.50;1.020;1.015;114;112.4;4999.4;554.4;10;8;2250;27.781;114.205;8.40;9;9;9
BENCH end
