BENCH sphere;name=Kerbin;radius=600000;minLevel=2;maxLevel=10;highestLevelUnder=9375;subdivisionOffAbove=1200000;maxAnglePerSample=4.602E-005;speedCapAt60Fps=1657
BENCH colliders;name=Kerbin;maxLevelOffset=0;lowestLevelWithCollider=10
BENCH sphere;name=KerbinOcean;radius=600000;minLevel=2;maxLevel=7;highestLevelUnder=75000;subdivisionOffAbove=1200000;maxAnglePerSample=3.682E-004;speedCapAt60Fps=13254
BENCH colliders;name=KerbinOcean;none
BENCH sphere;name=Mun;radius=200000;minLevel=2;maxLevel=9;highestLevelUnder=6250;subdivisionOffAbove=20000000;maxAnglePerSample=9.204E-005;speedCapAt60Fps=1104
BENCH colliders;name=Mun;maxLevelOffset=0;lowestLevelWithCollider=9
BENCH begin;mode=Counters;patchEnabled=True;samples=114;verticesPerQuad=225;warpedSeconds=0
BENCH;sample;ut;utSpan;realSeconds;frames;fps;altitude;speed;quads;patchedQuads;vertices;buildMs;updateMs;subdivisionAvg;subdivisionMax;speedLevelCap;maxLevel
BENCH;0;392.26;1.020;1.179;96;81.4;65.1;0.0;11;11;2475;2.999;67.666;7.00;7;3;7
BENCH;1;393.28;1.020;1.024;122;119.1;65.1;0.0;0;0;0;0.000;80.433;0.00;0;-1;0
BENCH;2;394.30;1.020;7.075;844;119.3;65.1;0.0;0;0;0;0.000;585.516;0.00;0;-1;0
BENCH;3;395.32;1.020;218.183;25665;117.6;9999.5;547.4;818;0;184050;2164.847;18633.776;5.33;8;8;9
BENCH;4;396.34;1.040;1.056;118;111.7;9999.5;547.4;8;0;1800;24.938;59.293;7.00;7;8;9
BENCH;5;397.38;1.020;1.010;120;118.8;9999.5;547.4;8;0;1800;22.254;57.325;6.00;6;9;9
BENCH;6;398.40;1.020;1.054;112;106.3;9999.5;547.4;8;0;1800;21.109;33.076;8.00;8;9;9
BENCH;7;399.42;1.020;1.022;123;120.4;9999.5;547.4;0;0;0;0.000;0.000;0.00;0;-1;0
BENCH;8;400.44;1.020;1.024;124;121.1;9999.5;547.4;0;0;0;0.000;0.000;0.00;0;-1;0
BENCH;9;401.46;1.020;1.017;123;120.9;9999.5;547.4;0;0;0;0.000;0.000;0.00;0;-1;0
BENCH;10;402.48;1.020;1.017;123;121.0;9999.5;547.4;0;0;0;0.000;0.000;0.00;0;-1;0
BENCH;11;403.50;1.020;1.025;124;121.0;9999.5;547.4;0;0;0;0.000;0.000;0.00;0;-1;0
BENCH;12;404.52;1.020;1.016;123;121.0;9999.5;547.4;0;0;0;0.000;0.000;0.00;0;-1;0
BENCH;13;405.54;1.020;1.025;124;120.9;9999.5;547.4;0;0;0;0.000;0.000;0.00;0;-1;0
BENCH;14;406.56;1.020;1.017;123;121.0;9999.6;547.4;0;0;0;0.000;0.000;0.00;0;-1;0
BENCH;15;407.58;1.020;1.017;123;121.0;9999.6;547.4;0;0;0;0.000;0.000;0.00;0;-1;0
BENCH;16;408.60;1.020;1.025;124;121.0;9999.6;547.4;0;0;0;0.000;0.000;0.00;0;-1;0
BENCH;17;409.62;1.020;1.359;101;74.3;9999.5;547.4;172;0;38700;463.766;493.413;6.51;8;8;9
BENCH;18;410.64;1.020;1.025;122;119.1;9999.5;547.4;0;0;0;0.000;41.109;0.00;0;-1;0
BENCH;19;411.66;1.020;1.018;121;118.9;9999.5;547.4;8;0;1800;23.376;65.639;7.00;7;9;9
BENCH;20;412.68;1.020;1.017;119;117.0;9999.5;547.4;16;0;3600;43.652;90.058;8.00;8;9;9
BENCH;21;413.70;1.020;1.025;124;121.0;9999.5;547.4;0;0;0;0.000;42.789;0.00;0;-1;0
BENCH;22;414.72;1.020;1.017;121;119.0;9999.6;547.4;8;0;1800;21.241;63.023;7.00;7;9;9
BENCH;23;415.74;1.020;1.016;121;119.0;9999.6;547.4;8;0;1800;21.301;63.274;7.00;7;9;9
BENCH;24;416.76;1.020;1.025;117;114.1;9999.6;547.4;24;0;5400;66.654;111.215;7.00;8;9;9
BENCH;25;417.78;1.020;1.016;121;119.0;9999.6;547.4;8;0;1800;22.106;64.777;7.00;7;9;9
BENCH;26;418.80;1.020;1.025;120;117.0;9999.6;547.4;16;0;3600;43.118;87.539;5.50;6;9;9
BENCH;27;419.82;1.020;1.016;118;116.1;9999.6;547.4;16;0;3600;43.536;87.677;8.00;8;9;9
BENCH;28;420.84;1.020;1.017;119;117.0;9999.6;547.4;16;0;3600;43.150;88.585;6.50;7;9;9
BENCH;29;421.86;1.020;1.025;124;120.9;9999.6;547.4;0;0;0;0.000;44.484;0.00;0;-1;0
BENCH;30;422.88;1.020;1.033;116;112.3;9999.6;547.4;24;0;5400;64.139;110.334;7.67;8;9;9
BENCH;31;423.90;1.020;1.017;121;119.0;9999.6;547.4;10;0;2250;27.014;74.689;6.20;7;9;9
BENCH;32;424.92;1.020;1.027;122;118.8;9999.6;547.4;8;0;1800;21.664;68.274;7.00;7;9;9
BENCH;33;425.94;1.020;1.015;117;115.3;9999.6;547.4;24;0;5400;64.446;113.449;7.33;8;9;9
BENCH;34;426.96;1.020;1.017;123;121.0;9999.6;547.4;8;0;1800;23.260;71.792;5.00;7;9;9
BENCH;35;427.98;1.020;1.025;122;119.0;9999.6;547.4;8;0;1800;21.711;68.068;7.00;7;9;9
BENCH;36;429.00;1.020;1.016;121;119.0;9999.6;547.4;8;0;1800;21.864;68.075;8.00;8;9;9
BENCH;37;430.02;1.020;1.025;120;117.1;9999.6;547.4;20;0;4500;54.850;104.416;7.00;8;9;9
BENCH;38;431.04;1.020;1.017;123;121.0;9999.6;547.4;2;0;450;5.396;53.302;7.00;7;9;9
BENCH;39;432.06;1.020;1.022;119;116.4;9999.6;547.4;16;0;3600;43.088;91.012;7.50;8;9;9
BENCH;40;433.08;1.020;1.020;122;119.6;9999.6;547.4;8;0;1800;21.123;69.076;8.00;8;9;9
BENCH;41;434.10;1.020;1.016;121;119.0;9999.6;547.4;12;0;2700;32.861;82.410;5.00;7;9;9
BENCH;42;435.12;1.020;1.025;120;117.0;9999.6;547.4;16;0;3600;43.295;91.822;6.50;7;9;9
BENCH;43;436.14;1.020;1.017;119;117.0;9999.6;547.4;16;0;3600;44.241;93.443;8.00;8;9;9
BENCH;44;437.16;1.020;1.018;121;118.9;9999.6;547.4;12;0;2700;32.991;84.495;6.33;7;9;9
BENCH;45;438.18;1.020;1.024;124;121.1;9999.6;547.4;2;0;450;5.447;57.170;7.00;7;9;9
BENCH;46;439.20;1.020;1.017;119;117.0;9999.6;547.4;16;0;3600;43.631;93.325;7.50;8;9;9
BENCH;47;440.22;1.020;1.025;124;121.0;9999.6;547.4;0;0;0;0.000;50.764;0.00;0;-1;0
BENCH;48;441.24;1.020;1.018;121;118.9;9999.6;547.4;8;0;1800;22.050;72.906;6.00;6;9;9
BENCH;49;442.26;1.020;1.016;123;121.0;9999.6;547.4;0;0;0;0.000;49.297;0.00;0;-1;0
BENCH;50;443.28;1.020;1.025;118;115.1;9999.6;547.4;24;0;5400;65.083;119.391;7.00;8;9;9
BENCH;51;444.30;1.020;1.016;119;117.1;9999.6;547.4;8;0;1800;21.919;73.959;5.00;5;9;9
BENCH;52;445.32;1.020;1.025;124;120.9;9999.6;547.4;0;0;0;0.000;49.461;0.00;0;-1;0
BENCH;53;446.34;1.020;1.016;123;121.0;9999.6;547.4;0;0;0;0.000;52.697;0.00;0;-1;0
BENCH;54;447.36;1.020;1.017;119;117.0;9999.6;547.4;16;0;3600;42.452;93.208;7.50;8;9;9
BENCH;55;448.38;1.020;1.024;122;119.1;9999.6;547.4;8;0;1800;23.097;76.623;7.00;7;9;9
BENCH;56;449.40;1.020;1.017;123;120.9;9999.6;547.4;0;0;0;0.000;52.012;0.00;0;-1;0
BENCH;57;450.42;1.020;1.018;119;116.9;9999.6;547.4;16;0;3600;43.718;96.611;6.50;8;9;9
BENCH;58;451.44;1.020;1.024;122;119.1;9999.6;547.4;8;0;1800;21.456;73.575;7.00;7;9;9
BENCH;59;452.46;1.020;1.017;123;120.9;9999.6;547.4;2;0;450;5.391;57.134;6.00;6;9;9
BENCH;60;453.48;1.020;1.025;119;116.1;9999.6;547.4;16;0;3600;42.682;94.016;7.00;8;9;9
BENCH;61;454.50;1.020;1.016;121;119.1;9999.6;547.4;8;0;1800;21.349;71.775;7.00;7;9;9
BENCH;62;455.52;1.020;1.025;122;119.0;9999.6;547.4;8;0;1800;21.806;73.736;7.00;7;9;9
BENCH;63;456.54;1.020;1.016;121;119.1;9999.6;547.4;8;0;1800;21.192;74.961;8.00;8;9;9
BENCH;64;457.56;1.020;1.017;121;119.0;9999.6;547.4;8;0;1800;21.507;73.029;7.00;7;9;9
BENCH;65;458.58;1.020;1.025;120;117.1;9999.6;547.4;16;0;3600;42.766;95.923;5.50;6;9;9
BENCH;66;459.60;1.020;1.017;117;115.0;9999.6;547.4;24;0;5400;63.727;117.984;6.67;8;9;9
BENCH;67;460.62;1.020;1.017;117;115.1;9999.6;547.4;24;0;5400;63.980;120.074;7.33;8;9;9
BENCH;68;461.64;1.020;1.025;124;121.0;9999.6;547.4;2;0;450;5.348;60.790;6.00;6;9;9
BENCH;69;462.66;1.020;1.017;118;116.0;9999.6;547.4;18;0;4050;48.312;102.620;7.78;8;9;9
BENCH;70;463.68;1.020;1.024;123;120.1;9999.6;547.4;8;0;1800;21.409;76.788;7.00;7;9;9
BENCH;71;464.70;1.020;1.017;122;120.0;9999.6;547.4;0;0;0;0.000;54.881;0.00;0;-1;0
BENCH;72;465.72;1.020;1.026;122;118.9;9999.6;547.4;8;0;1800;22.533;75.754;8.00;8;9;9
BENCH;73;466.74;1.020;1.017;114;112.1;9999.6;547.4;26;0;5850;72.804;129.579;5.92;8;9;9
BENCH;74;467.76;1.020;1.017;121;119.0;9999.6;547.4;8;0;1800;21.421;76.092;7.00;7;9;9
BENCH;75;468.78;1.020;1.019;119;116.8;9999.6;547.4;16;0;3600;43.054;96.287;7.00;8;9;9
BENCH;76;469.80;1.020;1.023;122;119.3;9999.6;547.4;10;0;2250;27.502;82.104;7.60;8;9;9
BENCH;77;470.82;1.020;1.025;122;119.0;9999.6;547.4;10;0;2250;26.990;82.181;5.20;6;9;9
BENCH;78;471.84;1.020;1.017;121;119.0;9999.6;547.4;8;0;1800;21.435;73.577;7.00;7;9;9
BENCH;79;472.86;1.020;1.017;118;116.1;9999.6;547.4;16;0;3600;44.051;96.885;8.00;8;9;9
BENCH;80;473.88;1.020;1.025;124;121.0;9999.6;547.4;0;0;0;0.000;54.491;0.00;0;-1;0
BENCH;81;474.90;1.020;1.017;118;116.1;9999.6;547.4;18;0;4050;48.287;101.479;6.44;7;9;9
BENCH;82;475.92;1.020;1.017;118;116.0;9999.6;547.4;18;0;4050;48.036;100.463;6.00;7;9;9
BENCH;83;476.94;1.020;1.025;122;119.1;9999.6;547.4;10;0;2250;27.381;82.993;7.60;8;9;9
BENCH;84;477.96;1.020;1.017;120;118.0;9999.6;547.4;10;0;2250;27.333;80.860;7.60;8;9;9
BENCH;85;478.98;1.020;1.025;124;121.0;9999.6;547.4;2;0;450;5.614;58.671;3.00;3;9;9
BENCH;86;480.00;1.020;1.017;119;117.0;9999.6;547.4;16;0;3600;42.556;96.965;7.50;8;9;9
BENCH;87;481.02;1.020;1.017;121;119.0;9999.6;547.4;8;0;1800;21.454;75.035;8.00;8;9;9
BENCH;88;482.04;1.020;1.025;122;119.0;9999.6;547.4;10;0;2250;27.438;82.430;4.40;6;9;9
BENCH;89;483.06;1.020;1.019;123;120.8;9999.6;547.4;0;0;0;0.000;53.441;0.00;0;-1;0
BENCH;90;484.08;1.020;1.023;118;115.3;9999.6;547.4;26;0;5850;69.399;125.740;7.23;8;9;9
BENCH;91;485.10;1.020;1.017;118;116.0;9999.6;547.4;18;0;4050;48.688;103.459;6.44;8;9;9
BENCH;92;486.12;1.020;1.018;123;120.8;9999.6;547.4;0;0;0;0.000;53.805;0.00;0;-1;0
BENCH;93;487.14;1.020;1.024;122;119.2;9999.6;547.4;8;0;1800;21.188;75.721;6.00;6;9;9
BENCH;94;488.16;1.020;1.017;118;116.1;9999.6;547.4;16;0;3600;42.465;96.942;7.50;8;9;9
BENCH;95;489.18;1.020;1.025;121;118.1;9999.6;547.4;10;0;2250;27.669;83.396;4.40;6;9;9
BENCH;96;490.20;1.020;1.017;122;120.0;9999.6;547.4;8;0;1800;21.562;77.003;8.00;8;9;9
BENCH;97;491.22;1.020;1.016;123;121.0;9999.6;547.4;2;0;450;5.450;60.193;6.00;6;9;9
BENCH;98;492.24;1.020;1.025;116;113.2;9999.6;547.4;26;0;5850;69.278;124.582;6.62;8;9;9
BENCH;99;493.26;1.020;1.017;121;119.0;9999.6;547.4;8;0;1800;21.458;76.338;7.00;7;9;9
BENCH;100;494.28;1.020;1.019;117;114.9;9999.6;547.4;24;0;5400;63.963;119.745;6.67;8;9;9
BENCH;101;495.30;1.020;1.024;124;121.0;9999.6;547.4;0;0;0;0.000;55.081;0.00;0;-1;0
