Statistic;Mean;Median;Worst 25%;Worst 1%
FPS;99.6;123.1;88.0;28.6
Frame time;10.05;8.12;11.36;34.91
Profiler overhead;0.44;0.37;0.50;1.16
Frame init;0.03;0.02;0.03;0.05
Target framerate;0.02;0.01;0.02;0.03
EarlyUpdate;0.09;0.09;0.11;0.18
FixedUpdate;1.31;0.01;2.61;4.42
FixedUpdate usercode;0.61;0.60;0.71;1.55
Physics;2.00;1.96;2.05;3.31
Coroutines;0.02;0.02;0.02;0.03
PreUpdate;0.06;0.05;0.08;0.14
OnMouse events;0.05;0.04;0.06;0.11
Update;2.74;1.79;2.02;24.79
Update;1.13;1.09;1.19;1.49
Coroutines;1.87;1.19;1.29;24.23
LateUpdate;0.55;0.54;0.57;0.74
LateUpdate;0.44;0.43;0.45;0.59
PostLateUpdate;4.81;4.37;5.82;6.58
UGUI;0.14;0.13;0.14;0.39
Audio;0.09;0.09;0.10;0.14
Renderers;0.86;0.22;1.69;1.94
Mesh skinning;0.01;0.00;0.00;0.04
UGUI geometry;0.06;0.06;0.06;0.14
Render;3.58;3.57;3.81;4.38
VSync;0.06;0.06;0.07;0.11
Cameras render;3.45;3.45;3.67;4.23
OnGUI;0.02;0.02;0.02;0.05
EndOfFrame Coroutines;0.00;0.00;0.00;0.01
Fixed calls / frame;0.50;0.00;1.00;2.00
FixedUpdate loop;1.31;1.94;2.61;3.13
FixedUpdate usercode;0.30;0.40;0.60;0.91
Physics;0.99;1.04;1.97;2.45
Coroutines;0.01;0.00;0.02;0.02
